"","year","Name","Surge","MaxWindSpeed","RainfallPointMax","Tornado","Radius","Pressure","Surge_Z","MaxWindSpeed_Z","RainfallPointMax_Z","Tornado_Z","Pressure_Z","Radius_Z"
"69",2016,"COLIN",NA,45,445.516,1,100,1001,NA,-0.772429995695883,0.19570617598398,-0.720056942138918,0.925383694822135,0.480189732214818
"70",2004,"CONSON",NA,35,NA,NA,NA,994,NA,-1.13665416601203,NA,NA,0.642991933444212,NA
"71",2016,"CONSON",NA,40,NA,NA,NA,988,NA,-0.954542080853955,NA,NA,0.400941852263135,NA
"72",2012,"DAMREY",13.12,55,NA,NA,NA,975,1.437487057921,-0.408205825379738,NA,NA,-0.123499990295865,NA
"73",2001,"DANAS",NA,55,NA,NA,NA,970,NA,-0.408205825379738,NA,NA,-0.325208391280095,NA
"74",2013,"DANAS",NA,55,NA,NA,NA,980,NA,-0.408205825379738,NA,NA,0.0782084106883662,NA
"75",1992,"DANIELLE",NA,55,106.68,NA,NA,1007,NA,-0.408205825379738,-1.22804577208204,NA,1.16743377600321,NA
"76",2016,"DANIELLE",NA,35,NA,NA,0,1009,NA,-1.13665416601203,NA,NA,1.2481171363969,-1.01237453097519
"77",1985,"DANNY",NA,80,248.92,NA,NA,987,NA,0.502354600410622,-0.630368792384158,NA,0.360600172066289,NA
"78",1997,"DANNY",NA,70,932.434,13,NA,984,NA,0.138130430094478,2.24168255112832,-0.168013286499081,0.239575131475751,NA
"79",1989,"DEAN",18,55,NA,NA,NA,991,2.48492757430063,-0.408205825379738,NA,NA,0.521966892853674,NA
"80",1995,"DEAN",18,40,447.04,5,NA,999,2.48492757430063,-0.954542080853955,0.202109857909314,-0.536042390258972,0.844700334428443,NA
"81",2007,"DEAN",18,150,NA,NA,140,905,2.48492757430063,3.05192379262363,NA,NA,-2.94741760407509,1.07721543749082
"82",1988,"DEBBY",4.49,65,662.686,NA,NA,987,-0.414851396250358,-0.0439816550635943,1.10823085034413,NA,0.360600172066289,NA
"83",1994,"DEBBY",4.49,55,NA,NA,NA,1007,-0.414851396250358,-0.408205825379738,NA,NA,1.16743377600321,NA
"84",2000,"DEBBY",4.49,65,308.864,NA,NA,993,-0.414851396250358,-0.0439816550635943,-0.378490636654338,NA,0.602650253247366,NA
"85",2012,"DEBBY",4.49,35,731.012,25,70,995,-0.414851396250358,-1.13665416601203,1.39532925666329,0.384030369140756,0.683333613641058,0.0324204532578157
"86",1999,"DENNIS",NA,75,505.714,1,NA,976,NA,0.32024251525255,0.448651612034689,-0.720056942138918,-0.0831583100990184,NA
"87",2005,"DENNIS",NA,120,325.12,10,100,941,NA,1.9592512816752,-0.310184696117438,-0.30602420040904,-1.49511711698863,0.480189732214818
"88",1984,"DIANA",NA,80,482.092,NA,NA,979,NA,0.502354600410622,0.349394542192005,NA,0.0378667304915201,NA
"89",1990,"DIANA",NA,85,556.768,NA,NA,980,NA,0.684466685568694,0.663174956533391,NA,0.0782084106883662,NA
"90",2004,"DIANMU",NA,70,NA,NA,NA,965,NA,0.138130430094478,NA,NA,-0.526916792264326,NA
"91",2010,"DIANMU",NA,60.25904,NA,NA,NA,980,NA,-0.216658877313797,NA,NA,0.0782084106883662,NA
"92",1996,"DOLLY",4,70,950.214,1,NA,989,-0.520024726788477,0.138130430094478,2.31639217359056,-0.720056942138918,0.441283532459981,NA
"93",2008,"DOLLY",4,75,381,6,50,967,-0.520024726788477,0.32024251525255,-0.0753830255218432,-0.490038752288986,-0.446233431870634,-0.266092399380186
"94",2014,"DOLLY",4,40,NA,NA,0,1002,-0.520024726788477,-0.954542080853955,NA,NA,0.965725375018981,-1.01237453097519
"95",2011,"DON",1.89,30,NA,NA,0,1007,-0.972913966452621,-1.3187662511701,NA,NA,1.16743377600321,-1.01237453097519
"96",2019,"DORIAN",NA,160,580.136,25,150,910,NA,3.41614796293978,0.761364746055185,0.384030369140756,-2.74570920309086,1.22647186380982
"97",1998,"EARL",NA,70,415.544,15,NA,987,NA,0.138130430094478,0.0697670981190699,-0.076006010559108,0.360600172066289,NA
"98",2010,"EARL",NA,65,131.826,NA,120,962,NA,-0.0439816550635943,-1.12238502031402,NA,-0.647941832854864,0.77870258485282
"99",2016,"EARL",NA,75,NA,NA,50,979,NA,0.32024251525255,NA,NA,0.0378667304915201,-0.266092399380186
"100",2002,"EDOUARD",NA,35,194.056,NA,NA,1009,NA,-1.13665416601203,-0.860901341696197,NA,1.2481171363969,NA
"101",2008,"EDOUARD",NA,55,164.592,NA,30,996,NA,-0.408205825379738,-0.984705858919328,NA,0.723675293837905,-0.564605252018188
"102",2013,"EIGHT",NA,30,NA,NA,0,1008,NA,-1.3187662511701,NA,NA,1.20777545620006,-1.01237453097519
"103",1985,"ELENA",1.97,100,398.018,NA,NA,959,-0.955742810446398,1.23080294104291,-0.0038752440222758,NA,-0.768966873445403,NA
"104",1987,"EMILY",15,95,117.602,NA,NA,965,1.84100922406725,1.04869085588484,-1.18215271828381,NA,-0.526916792264326,NA
"105",2005,"EMILY",15,115,132.08,11,100,944,1.84100922406725,1.77713919651713,-1.12131773999313,-0.260020562439054,-1.37409207639809,0.480189732214818
"106",2017,"EMILY",15,50,182.626,1,20,1001,1.84100922406725,-0.590317910537811,-0.908928956136205,-0.720056942138918,0.925383694822135,-0.713861678337188
"107",1991,"ERIKA",NA,35,NA,NA,NA,1009,NA,-1.13665416601203,NA,NA,1.2481171363969,NA
"108",2003,"ERIKA",NA,65,246.888,NA,NA,986,NA,-0.0439816550635943,-0.638907034951271,NA,0.320258491869443,NA
"109",2009,"ERIKA",NA,35,201.168,NA,0,1008,NA,-1.13665416601203,-0.831017492711303,NA,1.20777545620006,-1.01237453097519
"110",1995,"ERIN",3.1,75,508,14,NA,973,-0.713200231858491,0.32024251525255,0.45825713492269,-0.122009648529094,-0.204183350689557,NA
"111",2007,"ERIN",3.1,30,325.374,7,15,1006,-0.713200231858491,-1.3187662511701,-0.309117415796549,-0.444035114318999,1.12709209580637,-0.788489891496689
"112",2006,"ERNESTO",1,60,371.094,5,50,985,-1.16394307702186,-0.226093740221666,-0.117006958036517,-0.536042390258972,0.279916811672597,-0.266092399380186
"113",2012,"ERNESTO",1,85,NA,NA,60,973,-1.16394307702186,0.684466685568694,NA,NA,-0.204183350689557,-0.116835973061185
"114",2003,"ETAU",NA,85,NA,NA,NA,945,NA,0.684466685568694,NA,NA,-1.33375039620125,NA
"115",2015,"ETAU",NA,45,NA,NA,NA,990,NA,-0.772429995695883,NA,NA,0.481625212656828,NA
"116",1991,"FABIAN",10,40,106.426,NA,NA,1004,0.767811973678285,-0.954542080853955,-1.22911305240292,NA,1.04640873541267,NA
"117",2019,"FAXAI",NA,80,NA,NA,NA,960,NA,0.502354600410622,NA,NA,-0.728625193248557,NA
