"","Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge","RainfallCumulativeCMORPHDay0","RainfallCumulativeCMORPHDay1","RainfallCumulativeCMORPHDay2","RainfallCumulativeCMORPHDay3","RainfallCumulativeCMORPHDay4"
"191","RUSA","2002-08-25",21.1,150.8,60.25904,975,NA,NA,NA,NA,NA,NA,NA
"192","RUSA","2002-08-26",22.6,145.6,77.7536,955,NA,NA,NA,NA,NA,NA,NA
"193","RUSA","2002-08-27",23.7,140.5,75.80976,955,NA,NA,NA,NA,NA,NA,NA
"194","RUSA","2002-08-28",25.1,136.5,75.80976,955,0,NA,NA,NA,NA,NA,NA
"195","RUSA","2002-08-29",28.4,129.6,75,950,9.5,NA,NA,NA,NA,NA,NA
"196","RUSA","2002-08-30",28.8,128.8,69.97824,950,65.5,NA,NA,NA,NA,NA,NA
"197","RUSA","2002-08-31",31.6,127.6,69.97824,955,126,NA,NA,NA,NA,NA,NA
"198","RUSA","2002-09-01",35.9,127.6,46.65216,980,0.5,NA,NA,NA,NA,NA,NA
"199","SINLAKU","2002-09-03",25.7,131.3,75,960,NA,NA,NA,NA,NA,NA,NA
"200","SINLAKU","2002-09-04",26.2,127.9,80,955,0,NA,NA,NA,NA,NA,NA
"201","EDOUARD2002","2002-09-05",29.4,-81.1,35,1009,194.056,NA,NA,NA,NA,NA,NA
"202","FAY2002","2002-09-07",28.5,-96.3,50,999,469.646,NA,NA,NA,NA,NA,NA
"203","GUSTAV2002","2002-09-12",45.6,-60.4,80,960,152.4,4.43,NA,NA,NA,NA,NA
"204","GUSTAV2002","2002-09-12",47.6,-58.6,65,963,NA,4.43,NA,NA,NA,NA,NA
"205","HANNA2002","2002-09-14",29.1,-89.1,50,1003,395.224,NA,NA,NA,NA,NA,NA
"206","HANNA2002","2002-09-14",30.4,-88.4,50,1002,NA,NA,NA,NA,NA,NA,NA
"207","ISIDORE","2002-09-20",22,-84.1,75,964,774.446,8.3,NA,NA,NA,NA,NA
"208","ISIDORE","2002-09-22",21.3,-89.3,110,936,469.9,8.3,NA,NA,NA,NA,NA
"209","ISIDORE","2002-09-26",29.1,-90.3,55,984,NA,8.3,NA,NA,NA,NA,NA
"210","LILI2002","2002-09-30",19.7,-79.8,65,986,NA,6,NA,NA,NA,NA,NA
"211","HIGOS","2002-10-01",35.3,139.6,70,960,26.5,NA,NA,NA,NA,NA,NA
"212","LILI2002","2002-10-01",21.3,-83,90,971,NA,6,NA,NA,NA,NA,NA
"213","LILI2002","2002-10-01",22.1,-84,90,971,NA,6,NA,NA,NA,NA,NA
"214","LILI2002","2002-10-03",29.5,-92.2,80,963,NA,6,NA,NA,NA,NA,NA
"215","KYLE2002","2002-10-11",33,-79.5,35,1011,NA,NA,NA,NA,NA,NA,NA
"216","KYLE2002","2002-10-11",33.9,-78.4,35,1011,NA,NA,NA,NA,NA,NA,NA
"217","UNNAMED2002","2002-10-16",22,-80.7,25,1006,NA,3.28,NA,NA,NA,NA,NA
"218","LINFA","2003-05-30",33.2,132.3,45,985,1,NA,148.6965321474,149.4645876309,149.4645876309,149.4645876309,149.4645876309
"219","SOUDELOR","2003-06-17",24.2,123.8,65,968,115.316,NA,104.5097163762,152.3541623772,152.3541623772,152.3541623772,152.3541623772
"220","SOUDELOR","2003-06-19",34.2,129.2,60,975,0,NA,74.0597297895,74.0597297895,74.5118131299,76.8618130479,113.1618076197
"221","BILL2003","2003-06-30",29.3,-91,50,997,259.08,3.1,NA,NA,NA,NA,NA
"222","CLAUDETTE2003","2003-07-11",20.8,-86.9,50,1009,168.148,3,86.9249925006,86.9249925006,86.9249925006,86.9249925006,86.9249925006
"223","CLAUDETTE2003","2003-07-15",28.3,-96.2,80,979,58.42,3,99.3534733161,108.7930562772,108.7930562772,108.7930562772,108.7930562772
"224","UNNAMED2003","2003-07-26",31.5,-81.3,25,1018,45.364586868,3.28,19.649308689,30.275697681,39.413545332,39.513545337,42.4767397761
"225","ETAU2003","2003-08-07",28.1,129.2,85,945,18,NA,256.9020960264,256.9020960264,257.7743183244,261.3569574894,261.3569574894
"226","ETAU2003","2003-08-08",33.2,134,75,950,13,NA,NA,NA,NA,NA,NA
"227","ETAU2003","2003-08-09",41.9,142.8,40,985,42.5,NA,114.091665246,114.1027763577,137.3333332977,137.3333332977,137.3333332977
"228","ERIKA2003","2003-08-16",25.3,-97.4,65,986,97.282,NA,234.5763866934,234.5763866934,234.5763866934,234.5763866934,234.9972199251
