"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","point_max","location"
"164",162,"JEANNE","AL112004","2004-09-14 04:00:00","16.2N","61.3W",0,105,950,0,0,0,0,0,0,0,0,0,0,0,0,"2004",NA,NA
"165",163,"JERRY","AL111995","1995-08-23 18:00:00","27.0N","80.2W",0,35,1006,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995",NA,NA
"166",164,"JERRY","AL141989","1989-10-16 00:00:00","29.2N","95.0W",0,75,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1989",NA,NA
"167",165,"JOAN","AL111988","1988-10-15 01:00:00","11.9N","61.8W",0,125,932,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988",NA,NA
"168",166,"JOAQUIN","AL112015","2015-10-01 12:00:00","23.1N","73.7W",180,115,940,140,180,120,80,80,70,70,50,50,50,45,1153.459,"2015",NA,NA
"169",167,"JOSE","AL112005","2005-08-23 03:00:00","19.7N","96.4W",0,50,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2005",NA,NA
"170",168,"JOSE","AL141999","1999-10-20 16:00:00","17.1N","61.7W",0,80,982,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999",NA,NA
"171",169,"JOSEPHINE","AL101996","1996-10-08 03:00:00","30.0N","83.9W",0,60,983,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1996",NA,NA
"172",170,"JUAN","AL121985","1985-10-29 11:00:00","29.5N","91.4W",0,65,974,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985",NA,NA
"173",171,"JUAN","AL152003","2003-09-29 03:00:00","44.4N","63.8W",0,85,973,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2003",NA,NA
"174",172,"JULIA","AL112016","2016-09-13 06:00:00","27.3N","80.2W",0,30,1010,0,0,0,0,0,0,0,0,0,0,0,94.147,"2016",17.88,"Chesapeake 3.5 NE, VA"
"175",173,"KAREN","AL122019","2019-09-24 22:00:00","18.1N","65.3W",70,40,1004,0,70,0,0,0,0,0,0,0,0,0,0,"2019",5.71,"Coamo, PR"
"176",173,"KAREN","AL122019","2019-09-24 22:00:00","18.1N","65.3W",70,40,1004,0,70,0,0,0,0,0,0,0,0,0,0,"2019",3.1,"  Christiansted 1.8 ESE, St. Croix"
"177",174,"KAREN","AL132001","2001-10-15 12:00:00","44.2N","64.8W",0,40,998,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001",NA,NA
"178",175,"KARL","AL132010","2010-09-15 12:00:00","18.5N","87.8W",80,100,976,80,70,80,40,40,30,40,20,20,20,20,1325.76,"2010",NA,NA
"179",176,"KATE","AL131985","1985-11-21 22:00:00","30.0N","85.4W",0,85,967,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1985",NA,NA
"180",177,"KATIA","AL132017","2017-09-09 03:00:00","20.6N","97.1W",50,65,990,50,50,40,20,20,20,20,10,10,10,10,0,"2017",NA,NA
"181",178,"KATRINA","AL122005","2005-08-25 22:00:00","26.0N","80.1W",0,110,920,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2005",NA,NA
"182",179,"KATRINA","AL151999","1999-10-30 00:00:00","13.8N","83.4W",0,35,999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999",NA,NA
"183",180,"KEITH","AL121988","1988-11-21 08:00:00","21.2N","82.6W",0,60,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1988",NA,NA
"184",181,"KEITH","AL152000","2000-10-02 23:00:00","17.9N","88.0W",0,80,980,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2000",NA,NA
