"Name","Time","Latitude","Longitude","MaxWindSpeed","CentPressure","Rainfall","Surge"
"323","DON",2011-07-30,27.3,-97.4,30,1007,0.8333334447,1.89
"324","HARVEY",2011-08-20,17,-88.3,55,995,185.7222075,NA
"325","HARVEY",2011-08-22,18.7,-95.2,35,1005,183.479176617,NA
"326","IRENE",2011-08-21,17.8,-64.6,60,993,139.638885162,7.09
"327","IRENE",2011-08-22,18.1,-65.8,60,990,159.516668256,7.09
"328","IRENE",2011-08-24,22.4,-74,100,955,286.9583238,7.09
"329","IRENE",2011-08-25,23.5,-75.1,95,952,210.6416685,7.09
"330","IRENE",2011-08-25,24.7,-76.2,90,950,363.133319157,7.09
"331","IRENE",2011-08-25,26.5,-77.2,90,950,305.843738445,7.09
"332","IRENE",2011-08-27,34.7,-76.6,75,952,168.1166559,7.09
"333","IRENE",2011-08-28,39.4,-74.4,60,959,NA,7.09
"334","IRENE",2011-08-28,40.6,-74,55,965,149.7666804,7.09
"335","LEE",2011-09-04,29.6,-92.1,40,986,NA,NA
"336","MARIA",2011-09-16,47,-53.5,60,983,33.4819314153,NA
"337","NATE",2011-09-11,20.5,-97,40,1006,3.0354167775,NA
"338","RINA",2011-10-28,20.5,-87.2,50,996,93.8597238951,NA
"339","BERYL",2012-05-28,30.2,-81.4,55,994,43.708334685,NA
"340","DEBBY",2012-06-26,29.3,-83.2,35,995,2.9493052407,4.49
"341","ERNESTO",2012-08-08,18.7,-87.2,80,977,651.656307,1
"342","ERNESTO",2012-08-08,18.8,-87.7,85,973,794.730525,1
"343","ERNESTO",2012-08-09,18.3,-94.6,55,989,89.519446452,1
"344","HELENE",2012-08-18,21.9,-97.7,30,1008,87.8229075,1
"345","GORDON",2012-08-20,37,-25.1,65,984,108.55557,NA
"346","ISAAC",2012-08-25,18.3,-72.7,55,991,557.6243388,9.19
"347","ISAAC",2012-08-25,20.1,-74.5,50,997,91.2166570014,9.19
"348","ISAAC",2012-08-29,28.9,-89.4,70,967,NA,9.19
"349","ISAAC",2012-08-29,29.2,-90.2,70,966,143.9125012917,9.19
"350","SANDY",2012-10-24,17.9,-76.6,75,971,NA,11.48
"351","SANDY",2012-10-25,20,-76,100,954,430.6528246074,11.48
"352","SANDY",2012-10-29,39.4,-74.4,70,945,NA,11.48
"353","ANDREA",2013-06-06,29.5,-83.4,50,992,58.785415203,NA
"354","BARRY",2013-06-17,16.5,-88.4,30,1006,159.2472204,4
"355","BARRY",2013-06-20,19.6,-96.4,40,1003,NA,4
"356","FERNAND",2013-08-26,19.5,-96.3,50,1001,303.201386745,NA
"357","EIGHT",2013-09-06,22.3,-97.9,30,1008,99.527776032,NA
"358","INGRID",2013-09-16,23.7,-97.7,55,991,314.6340285441,8.2
"359","ARTHUR",2014-07-04,34.7,-76.6,85,973,113.891694675,NA
"360","ARTHUR",2014-07-04,35.8,-75.5,85,973,92.4472305741,NA
"361","BERTHA",2014-08-03,21.8,-71.9,40,1013,163.902076782,NA
"362","DOLLY",2014-09-03,22,-97.7,40,1002,445.327017819,4
"363","FAY",2014-10-12,32.3,-64.7,70,984,349.9694625,NA
"364","GONZALO",2014-10-13,17.1,-61.8,65,990,153.5499874257,NA
"365","GONZALO",2014-10-13,18.1,-63,75,984,282.347211912,NA
"366","GONZALO",2014-10-13,18.2,-63.1,75,984,249.755537907,NA
"367","GONZALO",2014-10-18,32.3,-64.8,95,952,236.924981796,NA
"368","HANNA",2014-10-27,14.9,-83.3,35,1005,222.2375201754,NA
"369","ANA",2015-05-10,33.8,-78.8,40,1002,195.9930635508,NA
"370","BILL",2015-06-16,28.2,-96.7,50,997,11.3124987411,3.1
"371","JOAQUIN",2015-10-01,23.1,-73.7,115,942,728.238885,NA
"372","JOAQUIN",2015-10-02,23.6,-74.8,110,940,526.685463,NA
"373","JOAQUIN",2015-10-02,24.1,-74.5,110,942,205.8583302,NA
"374","ALEX",2016-01-15,38.7,-27.1,55,986,29.758333638,NA
"375","BONNIE",2016-05-29,32.8,-79.8,30,1007,12.459723036,1.9
"376","COLIN",2016-06-07,29.8,-83.6,45,1001,86.691686523,NA
"377","DANIELLE",2016-06-20,21.2,-97.4,35,1009,104.327780568,NA
"378","EARL",2016-08-04,17.4,-87.8,75,979,154.1388940131,NA
"379","EARL",2016-08-04,17.4,-88.3,75,979,188.477796738,NA
"380","EARL",2016-08-06,19,-96,50,999,283.7618122488,NA
"381","HERMINE",2016-09-02,30.1,-84.1,70,981,NA,3.4
"382","JULIA",2016-09-13,27.3,-80.2,30,1010,52.8111152112,NA
"383","MATTHEW",2016-10-04,18.3,-74.3,130,935,1207.388214,5.85
"384","MATTHEW",2016-10-05,20.1,-74.3,115,949,332.260422,5.85
