"","X","h_name","h_id","datetime","lat","lon","radius","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","rainfall","year","name_lower"
"270",270,"IKE","AL092008","2008-09-13 07:00:00","29.3N","94.7W",225,95,950,225,200,125,150,150,80,75,110,110,110,45,0,"2008","ike"
"271",271,"IMELDA","AL112019","2019-09-17 17:00:00","28.9N","95.4W",40,40,1003,0,40,0,0,0,0,0,0,0,0,0,0,"2019","imelda"
"272",272,"INGRID","AL102013","2013-09-16 11:00:00","23.7N","97.7W",70,55,991,70,60,30,30,30,0,0,0,0,0,0,0,"2013","ingrid"
"273",273,"IRENE","AL092011","2011-08-21 23:00:00","17.8N","64.6W",0,60,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2011","irene"
"274",274,"IRENE","AL092011","2011-08-22 05:00:00","18.1N","65.8W",0,60,990,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2011","irene"
"275",275,"IRENE","AL092011","2011-08-24 16:00:00","22.4N","74.0W",0,100,955,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2011","irene"
"276",276,"IRENE","AL092011","2011-08-25 00:00:00","23.5N","75.1W",220,95,952,220,180,150,100,100,50,80,60,60,60,50,555.924,"2011","irene"
"277",277,"IRENE","AL092011","2011-08-25 09:00:00","24.7N","76.2W",0,90,950,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2011","irene"
"278",278,"IRENE","AL092011","2011-08-25 18:00:00","26.5N","77.2W",250,90,950,250,200,160,110,110,50,75,70,70,70,50,312.015,"2011","irene"
"279",279,"IRENE","AL092011","2011-08-27 12:00:00","34.7N","76.6W",225,75,952,225,225,125,125,125,90,60,80,80,80,35,316.698,"2011","irene"
"280",280,"IRENE","AL092011","2011-08-28 09:00:00","39.4N","74.4W",280,60,959,230,280,110,150,150,80,30,0,0,0,0,0,"2011","irene"
"281",281,"IRENE","AL092011","2011-08-28 13:00:00","40.6N","74.0W",280,55,965,230,280,50,150,150,80,30,0,0,0,0,0,"2011","irene"
"282",282,"IRENE","AL131999","1999-10-14 12:00:00","21.3N","82.9W",0,60,997,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","irene"
"283",283,"IRENE","AL131999","1999-10-14 19:00:00","22.7N","82.5W",0,60,986,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","irene"
"284",284,"IRENE","AL131999","1999-10-15 13:00:00","24.6N","81.6W",0,65,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","irene"
"285",285,"IRENE","AL131999","1999-10-15 20:00:00","25.3N","81.1W",0,70,987,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1999","irene"
"286",286,"IRIS","AL101995","1995-08-27 18:00:00","17.0N","61.9W",0,50,995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995","iris"
"287",287,"IRIS","AL101995","1995-08-27 23:00:00","17.7N","62.0W",0,55,993,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"1995","iris"
"288",288,"IRIS","AL112001","2001-10-09 02:00:00","16.3N","88.4W",0,125,948,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,"2001","iris"
"289",289,"IRMA","AL112017","2017-09-06 05:00:00","17.7N","61.8W",150,155,914,150,110,150,80,80,40,70,45,45,45,45,0,"2017","irma"
"290",290,"IRMA","AL112017","2017-09-06 11:00:00","18.1N","63.1W",150,155,914,150,110,150,80,80,50,70,45,45,45,45,0,"2017","irma"
"291",291,"IRMA","AL112017","2017-09-06 16:00:00","18.5N","64.4W",160,155,915,160,110,150,90,90,50,70,45,45,45,45,0,"2017","irma"
"292",292,"IRMA","AL112017","2017-09-08 05:00:00","21.5N","73.0W",160,135,924,160,120,150,100,100,50,80,60,60,60,55,0,"2017","irma"
"293",293,"IRMA","AL112017","2017-09-09 03:00:00","22.3N","77.9W",160,145,924,160,140,160,100,100,50,80,60,60,60,60,0,"2017","irma"
"294",294,"IRMA","AL112017","2017-09-10 13:00:00","24.7N","81.5W",270,115,931,270,180,210,120,120,80,110,70,70,70,50,0,"2017","irma"
"295",295,"IRMA","AL112017","2017-09-10 19:00:00","25.9N","81.7W",330,100,936,330,190,220,130,130,80,110,70,70,70,50,0,"2017","irma"
"296",296,"ISAAC","AL092012","2012-08-25 06:00:00","18.3N","72.7W",180,55,991,180,110,180,60,60,0,0,0,0,0,0,490.298,"2012","isaac"
"297",297,"ISAAC","AL092012","2012-08-25 15:00:00","20.1N","74.5W",180,50,997,180,110,150,60,60,0,0,0,0,0,0,0,"2012","isaac"
"298",298,"ISAAC","AL092012","2012-08-29 00:00:00","28.9N","89.4W",180,70,967,180,150,140,90,90,60,50,50,50,50,0,207.847,"2012","isaac"
"299",299,"ISAAC","AL092012","2012-08-29 08:00:00","29.2N","90.2W",180,70,966,180,150,130,90,90,60,40,50,50,50,0,0,"2012","isaac"
