"","date","hours","id","status","lat","lon","windspeed_max","pressure_min","wind_34_ne","wind_34_se","wind_34_sw","wind_34_nw","wind_50_ne","wind_50_se","wind_50_sw","wind_50_nw","wind_64_ne","wind_64_se","wind_64_sw","wind_64_nw","h_name"
"87","19800809","0600","","HU","25.0N","94.2W","155","909","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"88","19800809","1200","","HU","25.2N","95.4W","140","916","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"89","19800809","1800","","HU","25.4N","96.1W","125","925","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"90","19800810","0000","","HU","25.8N","96.8W","110","935","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"91","19800810","0600","","HU","26.1N","97.2W","100","945","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"92","19800810","1200","","HU","26.7N","98.1W","85","960","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"93","19800810","1800","","HU","27.3N","99.0W","70","970","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"94","19800811","0000","","TS","27.7N","99.8W","60","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"95","19800811","0600","","TS","28.0N","100.9W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"96","19800811","1200","","TD","28.5N","101.9W","30","1005","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"97","19800811","1800","","TD","28.9N","102.9W","30","1008","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","ALLEN"
"98","19800813","0000","","TD","15.0N","21.0W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"99","19800813","0600","","TD","15.2N","22.5W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"100","19800813","1200","","TD","15.8N","24.2W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"101","19800813","1800","","TD","16.7N","25.9W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"102","19800814","0000","","TD","17.8N","27.1W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"103","19800814","0600","","TD","18.8N","28.7W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"104","19800814","1200","","TD","20.0N","30.0W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"105","19800814","1800","","TD","21.0N","31.7W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"106","19800815","0000","","TD","22.0N","33.0W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"107","19800815","0600","","TD","23.2N","34.3W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"108","19800815","1200","","TD","24.8N","35.9W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"109","19800815","1800","","TD","27.3N","37.2W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"110","19800816","0000","","TD","30.0N","36.6W","30","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"111","19800816","0600","","TD","32.1N","34.4W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"112","19800816","1200","","TD","33.8N","31.9W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"113","19800816","1800","","TD","35.2N","29.0W","25","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"114","19800817","0000","","TD","36.7N","26.2W","20","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","UNNAMED"
"115","19800814","0000","","TD","12.7N","35.5W","25","1010","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"116","19800814","0600","","TD","13.5N","36.6W","30","1008","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"117","19800814","1200","","TS","14.7N","37.3W","35","1005","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"118","19800814","1800","","TS","15.7N","37.5W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"119","19800815","0000","","TS","16.7N","37.8W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"120","19800815","0600","","TS","17.7N","37.9W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"121","19800815","1200","","TS","18.8N","38.1W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"122","19800815","1800","","TS","20.4N","38.5W","55","995","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"123","19800816","0000","","HU","22.0N","38.7W","75","985","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"124","19800816","0600","","HU","23.7N","38.9W","85","975","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"125","19800816","1200","","HU","24.8N","39.1W","85","975","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"126","19800816","1800","","HU","25.8N","39.4W","85","975","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"127","19800817","0000","","HU","27.0N","39.7W","75","985","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"128","19800817","0600","","HU","28.0N","40.0W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"129","19800817","1200","","HU","29.0N","40.3W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"130","19800817","1800","","HU","30.0N","40.5W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"131","19800818","0000","","HU","31.1N","40.5W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"132","19800818","0600","","HU","32.4N","40.5W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"133","19800818","1200","","HU","34.0N","40.5W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"134","19800818","1800","","HU","35.9N","40.5W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"135","19800819","0000","","HU","38.2N","40.2W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"136","19800819","0600","","HU","41.9N","39.8W","65","990","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"137","19800819","1200","","HU","46.5N","38.4W","65","995","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"138","19800819","1800","","EX","51.0N","36.0W","45","1000","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","BONNIE"
"139","19800820","1200","","SD","36.0N","73.0W","25","1010","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
"140","19800820","1800","","SD","35.0N","72.0W","25","1008","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","-999","CHARLEY"
